scenario_id,arrival_rate_class_1,arrival_rate_class_2,tau_1,tau_2,post_threshold_balking_rate,w1,w2,objective_name,direction,near_tie_tolerance,range_index,range_start,range_end,q_values,range_label
t09_05_b07_l50,50,50,9,5,0.7,1.5,1.0,Obj_service_norm,maximize,0.01,1,32,32,32,32
t09_05_b07_l50,50,50,9,5,0.7,1.5,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t09_05_b07_l50,50,50,9,5,0.7,2.0,1.0,Obj_util_norm,maximize,0.01,1,32,32,32,32
t09_05_b07_l50,50,50,9,5,0.7,2.0,1.0,Obj_service_norm,maximize,0.01,1,32,32,32,32
t09_05_b07_l50,50,50,9,5,0.7,2.0,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t09_09_b03_l25,25,25,9,9,0.3,0.5,1.0,Obj_util_norm,maximize,0.01,1,0,12,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]"
t09_09_b03_l25,25,25,9,9,0.3,0.5,1.0,Obj_service_norm,maximize,0.01,1,0,12,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]"
t09_09_b03_l25,25,25,9,9,0.3,0.5,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t09_09_b03_l25,25,25,9,9,0.3,1.0,1.0,Obj_util_norm,maximize,0.01,1,24,24,24,24
t09_09_b03_l25,25,25,9,9,0.3,1.0,1.0,Obj_service_norm,maximize,0.01,1,24,24,24,24
t09_09_b03_l25,25,25,9,9,0.3,1.0,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t09_09_b03_l25,25,25,9,9,0.3,1.5,1.0,Obj_util_norm,maximize,0.01,1,24,24,24,24
t09_09_b03_l25,25,25,9,9,0.3,1.5,1.0,Obj_service_norm,maximize,0.01,1,24,24,24,24
t09_09_b03_l25,25,25,9,9,0.3,1.5,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t09_09_b03_l25,25,25,9,9,0.3,2.0,1.0,Obj_util_norm,maximize,0.01,1,24,24,24,24
t09_09_b03_l25,25,25,9,9,0.3,2.0,1.0,Obj_service_norm,maximize,0.01,1,24,24,24,24
t09_09_b03_l25,25,25,9,9,0.3,2.0,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t09_09_b03_l50,50,50,9,9,0.3,0.5,1.0,Obj_util_norm,maximize,0.01,1,0,10,"0,2,4,6,8,10","0-10 [0,2,4,6,8,10]"
t09_09_b03_l50,50,50,9,9,0.3,0.5,1.0,Obj_service_norm,maximize,0.01,1,0,10,"0,2,4,6,8,10","0-10 [0,2,4,6,8,10]"
t09_09_b03_l50,50,50,9,9,0.3,0.5,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t09_09_b03_l50,50,50,9,9,0.3,1.0,1.0,Obj_util_norm,maximize,0.01,1,32,32,32,32
t09_09_b03_l50,50,50,9,9,0.3,1.0,1.0,Obj_service_norm,maximize,0.01,1,32,32,32,32
t09_09_b03_l50,50,50,9,9,0.3,1.0,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t09_09_b03_l50,50,50,9,9,0.3,1.5,1.0,Obj_util_norm,maximize,0.01,1,32,32,32,32
t09_09_b03_l50,50,50,9,9,0.3,1.5,1.0,Obj_service_norm,maximize,0.01,1,32,32,32,32
t09_09_b03_l50,50,50,9,9,0.3,1.5,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t09_09_b03_l50,50,50,9,9,0.3,2.0,1.0,Obj_util_norm,maximize,0.01,1,32,32,32,32
t09_09_b03_l50,50,50,9,9,0.3,2.0,1.0,Obj_service_norm,maximize,0.01,1,32,32,32,32
t09_09_b03_l50,50,50,9,9,0.3,2.0,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t09_09_b05_l25,25,25,9,9,0.5,0.5,1.0,Obj_util_norm,maximize,0.01,1,0,12,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]"
t09_09_b05_l25,25,25,9,9,0.5,0.5,1.0,Obj_service_norm,maximize,0.01,1,0,12,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]"
t09_09_b05_l25,25,25,9,9,0.5,0.5,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t09_09_b05_l25,25,25,9,9,0.5,1.0,1.0,Obj_util_norm,maximize,0.01,1,24,24,24,24
t09_09_b05_l25,25,25,9,9,0.5,1.0,1.0,Obj_service_norm,maximize,0.01,1,24,24,24,24
t09_09_b05_l25,25,25,9,9,0.5,1.0,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t09_09_b05_l25,25,25,9,9,0.5,1.5,1.0,Obj_util_norm,maximize,0.01,1,24,24,24,24
t09_09_b05_l25,25,25,9,9,0.5,1.5,1.0,Obj_service_norm,maximize,0.01,1,24,24,24,24
t09_09_b05_l25,25,25,9,9,0.5,1.5,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t09_09_b05_l25,25,25,9,9,0.5,2.0,1.0,Obj_util_norm,maximize,0.01,1,24,24,24,24
t09_09_b05_l25,25,25,9,9,0.5,2.0,1.0,Obj_service_norm,maximize,0.01,1,24,24,24,24
t09_09_b05_l25,25,25,9,9,0.5,2.0,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t09_09_b05_l50,50,50,9,9,0.5,0.5,1.0,Obj_util_norm,maximize,0.01,1,0,8,"0,2,4,6,8","0-8 [0,2,4,6,8]"
t09_09_b05_l50,50,50,9,9,0.5,0.5,1.0,Obj_service_norm,maximize,0.01,1,0,8,"0,2,4,6,8","0-8 [0,2,4,6,8]"
t09_09_b05_l50,50,50,9,9,0.5,0.5,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t09_09_b05_l50,50,50,9,9,0.5,1.0,1.0,Obj_util_norm,maximize,0.01,1,32,32,32,32
t09_09_b05_l50,50,50,9,9,0.5,1.0,1.0,Obj_service_norm,maximize,0.01,1,32,32,32,32
t09_09_b05_l50,50,50,9,9,0.5,1.0,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t09_09_b05_l50,50,50,9,9,0.5,1.5,1.0,Obj_util_norm,maximize,0.01,1,32,32,32,32
t09_09_b05_l50,50,50,9,9,0.5,1.5,1.0,Obj_service_norm,maximize,0.01,1,32,32,32,32
t09_09_b05_l50,50,50,9,9,0.5,1.5,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t09_09_b05_l50,50,50,9,9,0.5,2.0,1.0,Obj_util_norm,maximize,0.01,1,32,32,32,32
t09_09_b05_l50,50,50,9,9,0.5,2.0,1.0,Obj_service_norm,maximize,0.01,1,32,32,32,32
t09_09_b05_l50,50,50,9,9,0.5,2.0,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t09_09_b07_l25,25,25,9,9,0.7,0.5,1.0,Obj_util_norm,maximize,0.01,1,0,12,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]"
t09_09_b07_l25,25,25,9,9,0.7,0.5,1.0,Obj_service_norm,maximize,0.01,1,0,12,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]"
t09_09_b07_l25,25,25,9,9,0.7,0.5,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t09_09_b07_l25,25,25,9,9,0.7,1.0,1.0,Obj_util_norm,maximize,0.01,1,24,24,24,24
t09_09_b07_l25,25,25,9,9,0.7,1.0,1.0,Obj_service_norm,maximize,0.01,1,24,24,24,24
t09_09_b07_l25,25,25,9,9,0.7,1.0,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t09_09_b07_l25,25,25,9,9,0.7,1.5,1.0,Obj_util_norm,maximize,0.01,1,24,24,24,24
t09_09_b07_l25,25,25,9,9,0.7,1.5,1.0,Obj_service_norm,maximize,0.01,1,24,24,24,24
t09_09_b07_l25,25,25,9,9,0.7,1.5,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t09_09_b07_l25,25,25,9,9,0.7,2.0,1.0,Obj_util_norm,maximize,0.01,1,24,24,24,24
t09_09_b07_l25,25,25,9,9,0.7,2.0,1.0,Obj_service_norm,maximize,0.01,1,24,24,24,24
t09_09_b07_l25,25,25,9,9,0.7,2.0,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t09_09_b07_l50,50,50,9,9,0.7,0.5,1.0,Obj_util_norm,maximize,0.01,1,0,10,"0,2,4,6,8,10","0-10 [0,2,4,6,8,10]"
t09_09_b07_l50,50,50,9,9,0.7,0.5,1.0,Obj_service_norm,maximize,0.01,1,0,10,"0,2,4,6,8,10","0-10 [0,2,4,6,8,10]"
t09_09_b07_l50,50,50,9,9,0.7,0.5,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t09_09_b07_l50,50,50,9,9,0.7,1.0,1.0,Obj_util_norm,maximize,0.01,1,32,32,32,32
t09_09_b07_l50,50,50,9,9,0.7,1.0,1.0,Obj_service_norm,maximize,0.01,1,32,32,32,32
t09_09_b07_l50,50,50,9,9,0.7,1.0,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t09_09_b07_l50,50,50,9,9,0.7,1.5,1.0,Obj_util_norm,maximize,0.01,1,32,32,32,32
t09_09_b07_l50,50,50,9,9,0.7,1.5,1.0,Obj_service_norm,maximize,0.01,1,32,32,32,32
t09_09_b07_l50,50,50,9,9,0.7,1.5,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t09_09_b07_l50,50,50,9,9,0.7,2.0,1.0,Obj_util_norm,maximize,0.01,1,32,32,32,32
t09_09_b07_l50,50,50,9,9,0.7,2.0,1.0,Obj_service_norm,maximize,0.01,1,32,32,32,32
t09_09_b07_l50,50,50,9,9,0.7,2.0,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t12_12_b03_l25,25,25,12,12,0.3,0.5,1.0,Obj_util_norm,maximize,0.01,1,0,12,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]"
t12_12_b03_l25,25,25,12,12,0.3,0.5,1.0,Obj_service_norm,maximize,0.01,1,0,12,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]"
t12_12_b03_l25,25,25,12,12,0.3,0.5,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t12_12_b03_l25,25,25,12,12,0.3,1.0,1.0,Obj_util_norm,maximize,0.01,1,24,24,24,24
t12_12_b03_l25,25,25,12,12,0.3,1.0,1.0,Obj_service_norm,maximize,0.01,1,24,24,24,24
t12_12_b03_l25,25,25,12,12,0.3,1.0,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t12_12_b03_l25,25,25,12,12,0.3,1.5,1.0,Obj_util_norm,maximize,0.01,1,24,24,24,24
t12_12_b03_l25,25,25,12,12,0.3,1.5,1.0,Obj_service_norm,maximize,0.01,1,24,24,24,24
t12_12_b03_l25,25,25,12,12,0.3,1.5,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t12_12_b03_l25,25,25,12,12,0.3,2.0,1.0,Obj_util_norm,maximize,0.01,1,24,24,24,24
t12_12_b03_l25,25,25,12,12,0.3,2.0,1.0,Obj_service_norm,maximize,0.01,1,24,24,24,24
t12_12_b03_l25,25,25,12,12,0.3,2.0,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t12_12_b03_l50,50,50,12,12,0.3,0.5,1.0,Obj_util_norm,maximize,0.01,1,0,8,"0,2,4,6,8","0-8 [0,2,4,6,8]"
t12_12_b03_l50,50,50,12,12,0.3,0.5,1.0,Obj_service_norm,maximize,0.01,1,0,10,"0,2,4,6,8,10","0-10 [0,2,4,6,8,10]"
t12_12_b03_l50,50,50,12,12,0.3,0.5,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t12_12_b03_l50,50,50,12,12,0.3,1.0,1.0,Obj_util_norm,maximize,0.01,1,32,32,32,32
t12_12_b03_l50,50,50,12,12,0.3,1.0,1.0,Obj_service_norm,maximize,0.01,1,32,32,32,32
t12_12_b03_l50,50,50,12,12,0.3,1.0,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t12_12_b03_l50,50,50,12,12,0.3,1.5,1.0,Obj_util_norm,maximize,0.01,1,32,32,32,32
t12_12_b03_l50,50,50,12,12,0.3,1.5,1.0,Obj_service_norm,maximize,0.01,1,32,32,32,32
t12_12_b03_l50,50,50,12,12,0.3,1.5,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t12_12_b03_l50,50,50,12,12,0.3,2.0,1.0,Obj_util_norm,maximize,0.01,1,32,32,32,32
t12_12_b03_l50,50,50,12,12,0.3,2.0,1.0,Obj_service_norm,maximize,0.01,1,32,32,32,32
t12_12_b03_l50,50,50,12,12,0.3,2.0,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t12_12_b05_l25,25,25,12,12,0.5,0.5,1.0,Obj_util_norm,maximize,0.01,1,0,12,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]"
t12_12_b05_l25,25,25,12,12,0.5,0.5,1.0,Obj_service_norm,maximize,0.01,1,0,12,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]"
t12_12_b05_l25,25,25,12,12,0.5,0.5,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t12_12_b05_l25,25,25,12,12,0.5,1.0,1.0,Obj_util_norm,maximize,0.01,1,24,24,24,24
t12_12_b05_l25,25,25,12,12,0.5,1.0,1.0,Obj_service_norm,maximize,0.01,1,24,24,24,24
t12_12_b05_l25,25,25,12,12,0.5,1.0,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t12_12_b05_l25,25,25,12,12,0.5,1.5,1.0,Obj_util_norm,maximize,0.01,1,24,24,24,24
t12_12_b05_l25,25,25,12,12,0.5,1.5,1.0,Obj_service_norm,maximize,0.01,1,24,24,24,24
t12_12_b05_l25,25,25,12,12,0.5,1.5,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t12_12_b05_l25,25,25,12,12,0.5,2.0,1.0,Obj_util_norm,maximize,0.01,1,24,24,24,24
t12_12_b05_l25,25,25,12,12,0.5,2.0,1.0,Obj_service_norm,maximize,0.01,1,24,24,24,24
t12_12_b05_l25,25,25,12,12,0.5,2.0,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t12_12_b05_l50,50,50,12,12,0.5,0.5,1.0,Obj_util_norm,maximize,0.01,1,0,10,"0,2,4,6,8,10","0-10 [0,2,4,6,8,10]"
t12_12_b05_l50,50,50,12,12,0.5,0.5,1.0,Obj_service_norm,maximize,0.01,1,0,10,"0,2,4,6,8,10","0-10 [0,2,4,6,8,10]"
t12_12_b05_l50,50,50,12,12,0.5,0.5,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t12_12_b05_l50,50,50,12,12,0.5,1.0,1.0,Obj_util_norm,maximize,0.01,1,32,32,32,32
t12_12_b05_l50,50,50,12,12,0.5,1.0,1.0,Obj_service_norm,maximize,0.01,1,32,32,32,32
t12_12_b05_l50,50,50,12,12,0.5,1.0,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t12_12_b05_l50,50,50,12,12,0.5,1.5,1.0,Obj_util_norm,maximize,0.01,1,32,32,32,32
t12_12_b05_l50,50,50,12,12,0.5,1.5,1.0,Obj_service_norm,maximize,0.01,1,32,32,32,32
t12_12_b05_l50,50,50,12,12,0.5,1.5,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t12_12_b05_l50,50,50,12,12,0.5,2.0,1.0,Obj_util_norm,maximize,0.01,1,32,32,32,32
t12_12_b05_l50,50,50,12,12,0.5,2.0,1.0,Obj_service_norm,maximize,0.01,1,32,32,32,32
t12_12_b05_l50,50,50,12,12,0.5,2.0,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t12_12_b07_l25,25,25,12,12,0.7,0.5,1.0,Obj_util_norm,maximize,0.01,1,0,12,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]"
t12_12_b07_l25,25,25,12,12,0.7,0.5,1.0,Obj_service_norm,maximize,0.01,1,0,12,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]"
t12_12_b07_l25,25,25,12,12,0.7,0.5,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t12_12_b07_l25,25,25,12,12,0.7,1.0,1.0,Obj_util_norm,maximize,0.01,1,24,24,24,24
t12_12_b07_l25,25,25,12,12,0.7,1.0,1.0,Obj_service_norm,maximize,0.01,1,24,24,24,24
t12_12_b07_l25,25,25,12,12,0.7,1.0,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t12_12_b07_l25,25,25,12,12,0.7,1.5,1.0,Obj_util_norm,maximize,0.01,1,24,24,24,24
t12_12_b07_l25,25,25,12,12,0.7,1.5,1.0,Obj_service_norm,maximize,0.01,1,24,24,24,24
t12_12_b07_l25,25,25,12,12,0.7,1.5,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t12_12_b07_l25,25,25,12,12,0.7,2.0,1.0,Obj_util_norm,maximize,0.01,1,24,24,24,24
t12_12_b07_l25,25,25,12,12,0.7,2.0,1.0,Obj_service_norm,maximize,0.01,1,24,24,24,24
t12_12_b07_l25,25,25,12,12,0.7,2.0,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t12_12_b07_l50,50,50,12,12,0.7,0.5,1.0,Obj_util_norm,maximize,0.01,1,0,10,"0,2,4,6,8,10","0-10 [0,2,4,6,8,10]"
t12_12_b07_l50,50,50,12,12,0.7,0.5,1.0,Obj_service_norm,maximize,0.01,1,0,10,"0,2,4,6,8,10","0-10 [0,2,4,6,8,10]"
t12_12_b07_l50,50,50,12,12,0.7,0.5,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t12_12_b07_l50,50,50,12,12,0.7,1.0,1.0,Obj_util_norm,maximize,0.01,1,32,32,32,32
t12_12_b07_l50,50,50,12,12,0.7,1.0,1.0,Obj_service_norm,maximize,0.01,1,32,32,32,32
t12_12_b07_l50,50,50,12,12,0.7,1.0,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t12_12_b07_l50,50,50,12,12,0.7,1.5,1.0,Obj_util_norm,maximize,0.01,1,32,32,32,32
t12_12_b07_l50,50,50,12,12,0.7,1.5,1.0,Obj_service_norm,maximize,0.01,1,32,32,32,32
t12_12_b07_l50,50,50,12,12,0.7,1.5,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
t12_12_b07_l50,50,50,12,12,0.7,2.0,1.0,Obj_util_norm,maximize,0.01,1,32,32,32,32
t12_12_b07_l50,50,50,12,12,0.7,2.0,1.0,Obj_service_norm,maximize,0.01,1,32,32,32,32
t12_12_b07_l50,50,50,12,12,0.7,2.0,1.0,T_wait_offered,minimize,0.01,1,32,32,32,32
