h1,h2,tau1,tau2,balk_high,class_id,mean,std,n,se,ci95,metric
2,14,5,9,0.7,2,0.5265749282888579,0.009328576632611317,50,0.0013192599591475662,0.00258574951992923,percent_serviced
2,14,5,12,0.3,1,0.03177009781597184,0.001358725862806527,50,0.00019215285427280756,0.0003766195943747028,percent_serviced
2,14,5,12,0.3,2,0.5258437137107269,0.009580915038773528,50,0.001354945998777787,0.0026556941576044626,percent_serviced
2,14,5,12,0.5,1,0.03177009781597184,0.001358725862806527,50,0.00019215285427280756,0.0003766195943747028,percent_serviced
2,14,5,12,0.5,2,0.5258437137107269,0.009580915038773528,50,0.001354945998777787,0.0026556941576044626,percent_serviced
2,14,5,12,0.7,1,0.03177009781597184,0.001358725862806527,50,0.00019215285427280756,0.0003766195943747028,percent_serviced
2,14,5,12,0.7,2,0.5258437137107269,0.009580915038773528,50,0.001354945998777787,0.0026556941576044626,percent_serviced
2,14,9,5,0.3,1,0.03211407138715679,0.0013442941467830213,50,0.00019011190141993167,0.0003726193267830661,percent_serviced
2,14,9,5,0.3,2,0.6075643353398139,0.005365772643595127,50,0.0007588348445182764,0.0014873162952558218,percent_serviced
2,14,9,5,0.5,1,0.03216125525823296,0.0012048915707278736,50,0.00017039740005123801,0.0003339789041004265,percent_serviced
2,14,9,5,0.5,2,0.6076828535549786,0.004433969451273415,50,0.0006270579733138853,0.0012290336276952153,percent_serviced
2,14,9,5,0.7,1,0.03204108843950871,0.0012898783066257447,50,0.00018241633950409698,0.00035753602542803006,percent_serviced
2,14,9,5,0.7,2,0.607758731942881,0.0050100778987854176,50,0.0007085320113008036,0.001388722742149575,percent_serviced
2,14,9,9,0.3,1,0.031787744862993364,0.0013445538613421834,50,0.00019014863060512295,0.00037269131598604096,percent_serviced
2,14,9,9,0.3,2,0.5266285668302401,0.009414765751243769,50,0.001331448941197466,0.0026096399247470333,percent_serviced
2,14,9,9,0.5,1,0.0317582723005467,0.001337936784017468,50,0.00018921283455553456,0.0003708571557288477,percent_serviced
2,14,9,9,0.5,2,0.526590434803525,0.009376040669190601,50,0.0013259723875731057,0.002598905879643287,percent_serviced
2,14,9,9,0.7,1,0.03174338446483901,0.0013540602671095572,50,0.00019149303940168714,0.0003753263572273068,percent_serviced
2,14,9,9,0.7,2,0.5265749282888579,0.009328576632611317,50,0.0013192599591475662,0.00258574951992923,percent_serviced
2,14,12,12,0.3,1,0.03177009781597184,0.001358725862806527,50,0.00019215285427280756,0.0003766195943747028,percent_serviced
2,14,12,12,0.3,2,0.5258437137107269,0.009580915038773528,50,0.001354945998777787,0.0026556941576044626,percent_serviced
