h1,h2,tau1,tau2,balk_high,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
2,2,9,9,0.5,22,1,18242,5853,0,5853,12389,0,0,5853,1.0,1.0,0.32085297664729745,0.5011130136986301,0.0,5853.0,5853.0
2,2,9,9,0.5,22,2,18140,5827,0,5827,12313,0,0,5827,1.0,1.0,0.32122381477398015,0.49888698630136985,0.0,5827.0,5827.0
2,2,9,9,0.5,23,1,18295,5797,0,5797,12498,0,0,5797,1.0,1.0,0.3168625307461055,0.49631849315068494,0.0,5797.0,5797.0
2,2,9,9,0.5,23,2,18312,5883,0,5883,12429,0,0,5883,1.0,1.0,0.32126474442988207,0.5036815068493151,0.0,5883.0,5883.0
2,2,9,9,0.5,24,1,18423,5900,0,5900,12523,0,0,5900,1.0,1.0,0.320251859089182,0.5051369863013698,0.0,5900.0,5900.0
2,2,9,9,0.5,24,2,18064,5780,0,5780,12284,0,0,5780,1.0,1.0,0.3199734278122232,0.4948630136986301,0.0,5780.0,5780.0
2,2,9,9,0.5,25,1,18176,5916,0,5916,12260,0,0,5916,1.0,1.0,0.32548415492957744,0.5065068493150685,0.0,5916.0,5916.0
2,2,9,9,0.5,25,2,18060,5764,0,5764,12296,0,0,5764,1.0,1.0,0.3191583610188261,0.4934931506849315,0.0,5764.0,5764.0
2,2,9,9,0.5,26,1,18032,5804,0,5804,12228,0,0,5804,1.0,1.0,0.32187222715173025,0.4969178082191781,0.0,5804.0,5804.0
2,2,9,9,0.5,26,2,18303,5876,0,5876,12427,0,0,5876,1.0,1.0,0.321040266622958,0.5030821917808219,0.0,5876.0,5876.0
2,2,9,9,0.5,27,1,18370,5932,0,5932,12438,0,0,5932,1.0,1.0,0.32291780076211213,0.5078767123287671,0.0,5932.0,5932.0
2,2,9,9,0.5,27,2,18045,5748,0,5748,12297,0,0,5748,1.0,1.0,0.31853699085619286,0.49212328767123287,0.0,5748.0,5748.0
2,2,9,9,0.5,28,1,18317,5814,0,5814,12503,0,0,5814,1.0,1.0,0.3174100562319157,0.4977739726027397,0.0,5814.0,5814.0
2,2,9,9,0.5,28,2,18493,5866,0,5866,12627,0,0,5866,1.0,1.0,0.31720110312009947,0.5022260273972603,0.0,5866.0,5866.0
2,2,9,9,0.5,29,1,18272,5790,0,5790,12482,0,0,5790,1.0,1.0,0.3168782837127846,0.4957191780821918,0.0,5790.0,5790.0
2,2,9,9,0.5,29,2,18251,5890,0,5890,12361,0,0,5890,1.0,1.0,0.32272204262780124,0.5042808219178082,0.0,5890.0,5890.0
2,2,9,9,0.5,30,1,18190,5812,0,5812,12378,0,0,5812,1.0,1.0,0.3195162177020341,0.4976027397260274,0.0,5812.0,5812.0
2,2,9,9,0.5,30,2,18257,5868,0,5868,12389,0,0,5868,1.0,1.0,0.3214109656570083,0.5023972602739726,0.0,5868.0,5868.0
2,2,9,9,0.5,31,1,18273,5822,0,5822,12451,0,0,5822,1.0,1.0,0.3186121600175122,0.49845890410958904,0.0,5822.0,5822.0
2,2,9,9,0.5,31,2,18348,5858,0,5858,12490,0,0,5858,1.0,1.0,0.3192718552430783,0.501541095890411,0.0,5858.0,5858.0
2,2,9,9,0.5,32,1,18340,5857,0,5857,12483,0,0,5857,1.0,1.0,0.3193565976008724,0.5014554794520548,0.0,5857.0,5857.0
2,2,9,9,0.5,32,2,18235,5823,0,5823,12412,0,0,5823,1.0,1.0,0.31933095695091857,0.4985445205479452,0.0,5823.0,5823.0
2,2,9,9,0.5,33,1,18055,5750,0,5750,12305,0,0,5750,1.0,1.0,0.3184713375796178,0.4922945205479452,0.0,5750.0,5750.0
2,2,9,9,0.5,33,2,18404,5930,0,5930,12474,0,0,5930,1.0,1.0,0.322212562486416,0.5077054794520548,0.0,5930.0,5930.0
2,2,9,9,0.5,34,1,18268,5768,0,5768,12500,0,0,5768,1.0,1.0,0.3157433763958835,0.49383561643835616,0.0,5768.0,5768.0
2,2,9,9,0.5,34,2,18312,5912,0,5912,12400,0,0,5912,1.0,1.0,0.32284840541721277,0.5061643835616438,0.0,5912.0,5912.0
2,2,9,9,0.5,35,1,18055,5782,0,5782,12273,0,0,5782,1.0,1.0,0.32024369980614786,0.49503424657534245,0.0,5782.0,5782.0
2,2,9,9,0.5,35,2,18280,5898,0,5898,12382,0,0,5898,1.0,1.0,0.3226477024070022,0.5049657534246575,0.0,5898.0,5898.0
2,2,9,9,0.5,36,1,18255,5864,0,5864,12391,0,0,5864,1.0,1.0,0.3212270610791564,0.5020547945205479,0.0,5864.0,5864.0
2,2,9,9,0.5,36,2,18201,5816,0,5816,12385,0,0,5816,1.0,1.0,0.3195428822592165,0.49794520547945204,0.0,5816.0,5816.0
